0.000 	 21369 	 2627 	 83487 	 9119 
0.022 	 21295 	 2621 	 83407 	 9101 
0.044 	 21070 	 2568 	 83325 	 8907 
0.065 	 20985 	 2568 	 82966 	 9138 
0.087 	 20856 	 2568 	 83104 	 8949 
0.109 	 21132 	 2556 	 83146 	 8974 
0.131 	 21138 	 2562 	 83424 	 9077 
0.152 	 20930 	 2538 	 82825 	 8949 
0.174 	 20971 	 2562 	 83289 	 9047 
0.196 	 20741 	 2562 	 83031 	 9004 
0.218 	 21028 	 2615 	 83203 	 8889 
0.239 	 21048 	 2562 	 83089 	 8998 
0.261 	 21060 	 2544 	 83318 	 8968 
0.283 	 20784 	 2550 	 83381 	 9059 
0.305 	 20936 	 2562 	 83391 	 8919 
0.326 	 20944 	 2579 	 83111 	 9010 
0.348 	 20797 	 2550 	 83110 	 9077 
0.370 	 20898 	 2579 	 83145 	 9077 
0.392 	 21023 	 2615 	 83033 	 9034 
0.413 	 21299 	 2621 	 83451 	 9241 
0.435 	 21339 	 2621 	 83170 	 9016 
0.457 	 21496 	 2633 	 83360 	 9113 
0.479 	 21574 	 2603 	 83519 	 9156 
0.500 	 21418 	 2633 	 83406 	 9192 
0.522 	 21332 	 2597 	 83148 	 9131 
0.544 	 21657 	 2680 	 82349 	 9307 
0.566 	 21553 	 2633 	 82018 	 9283 
0.588 	 21397 	 2645 	 82917 	 9235 
0.609 	 21633 	 2633 	 82907 	 9168 
0.631 	 21317 	 2603 	 82932 	 9125 
0.653 	 21393 	 2603 	 83062 	 8943 
0.675 	 21152 	 2574 	 83021 	 9065 
0.696 	 20890 	 2532 	 83145 	 8937 
0.718 	 20767 	 2574 	 83039 	 8846 
0.740 	 20655 	 2544 	 82430 	 8858 
0.762 	 20782 	 2532 	 82947 	 8865 
0.783 	 20642 	 2556 	 82591 	 8913 
0.805 	 20770 	 2574 	 82870 	 8858 
0.827 	 20407 	 2556 	 82793 	 8919 
0.849 	 21005 	 2568 	 83295 	 8871 
0.870 	 20883 	 2538 	 83267 	 8937 
0.892 	 20555 	 2526 	 82982 	 8877 
0.914 	 20990 	 2574 	 83354 	 9004 
0.936 	 21026 	 2550 	 83412 	 9150 
0.957 	 21272 	 2603 	 83679 	 9053 
0.979 	 21151 	 2603 	 83152 	 9107 
1.001 	 21323 	 2585 	 83174 	 9144 
1.023 	 21068 	 2556 	 83426 	 9095 
1.044 	 21300 	 2574 	 83366 	 9059 
1.066 	 20952 	 2579 	 83022 	 8919 
1.088 	 20988 	 2556 	 83230 	 9028 
1.110 	 21231 	 2568 	 83253 	 9119 
1.132 	 21150 	 2579 	 83478 	 8919 
1.153 	 21342 	 2597 	 83480 	 9022 
1.175 	 20875 	 2562 	 83178 	 8943 
1.197 	 21148 	 2568 	 83228 	 8883 
1.219 	 20569 	 2550 	 82603 	 8852 
1.240 	 20987 	 2556 	 83061 	 9053 
1.262 	 20819 	 2550 	 82576 	 8877 
1.284 	 20714 	 2556 	 83157 	 8980 
1.306 	 21005 	 2556 	 82874 	 8865 
1.327 	 21579 	 2603 	 83322 	 8998 
1.349 	 20746 	 2550 	 83236 	 8919 
1.371 	 20879 	 2597 	 82880 	 8980 
1.393 	 20653 	 2562 	 82692 	 8828 
1.414 	 21032 	 2579 	 83100 	 8986 
1.436 	 21517 	 2579 	 83588 	 9010 
1.458 	 21177 	 2556 	 83350 	 9095 
1.480 	 21340 	 2591 	 83233 	 8956 
1.501 	 20895 	 2550 	 83238 	 9047 
1.523 	 21172 	 2585 	 83104 	 9022 
1.545 	 20715 	 2585 	 83195 	 8998 
1.567 	 21196 	 2579 	 83537 	 9034 
1.588 	 20968 	 2544 	 82745 	 8865 
1.610 	 21224 	 2579 	 83587 	 8980 
1.632 	 20854 	 2591 	 83182 	 9022 
1.654 	 21005 	 2556 	 83102 	 8974 
1.676 	 21159 	 2538 	 83138 	 9047 
1.697 	 21134 	 2574 	 83383 	 9059 
1.719 	 20930 	 2562 	 82905 	 8968 
1.741 	 21055 	 2574 	 83059 	 8968 
1.763 	 20772 	 2538 	 83065 	 8925 
1.784 	 21024 	 2544 	 83145 	 8943 
1.806 	 21222 	 2615 	 83154 	 9004 
1.828 	 21191 	 2544 	 83257 	 8943 
1.850 	 21360 	 2579 	 83254 	 8986 
1.871 	 21377 	 2609 	 83248 	 8925 
1.893 	 21327 	 2574 	 83646 	 9113 
