   4.0229647e-01  -1.6707656e+09
   4.0897172e-01  -1.4294898e+09
   3.9151392e-01  -1.3250863e+09
   4.4401701e-01  -1.4218559e+09
   5.2736283e-01  -1.5645765e+09
   5.8468731e-01  -1.1349220e+09
   5.8301201e-01  -1.3033171e+09
   4.0355729e-01  -1.4012395e+09
   4.6601063e-01  -1.4578455e+09
   4.4190585e-01  -1.6259482e+09
   4.6496525e-01  -1.3182364e+09
   4.6079621e-01  -1.4702021e+09
   3.8840195e-01  -1.1608972e+09
   5.0695314e-01  -1.5269491e+09
   5.6119558e-01  -1.4815142e+09
   4.0327595e-01  -1.4026069e+09
   4.4545799e-01  -1.2997189e+09
   3.6774652e-01  -1.3021125e+09
   4.1555980e-01  -1.2469178e+09
   5.1649164e-01  -1.5102212e+09
   4.5595217e-01  -1.1385058e+09
   6.0461737e-01  -1.5166065e+09
   3.7215509e-01  -1.2360750e+09
   3.9521538e-01  -1.1625915e+09
   4.8537610e-01  -1.6439149e+09
   5.4019288e-01  -1.3923050e+09
   5.4295852e-01  -1.2629245e+09
   4.4282800e-01  -1.4220441e+09
   4.4431419e-01  -1.4411950e+09
   4.9221959e-01  -1.6233249e+09
   4.4720587e-01  -1.3521204e+09
   6.1049986e-01  -1.5784269e+09
   4.2208861e-01  -1.3702861e+09
   2.7563204e-01  -1.0425967e+09
   3.6280346e-01  -1.4491195e+09
   5.7132285e-01  -1.4074059e+09
   6.8493640e-01  -1.2213703e+09
   4.5378235e-01  -9.3809492e+08
   3.6770113e-01  -1.2802816e+09
   3.4783016e-01  -1.2814772e+09
   4.9959356e-01  -1.1686356e+09
   5.6230288e-01  -1.5054008e+09
   3.4950971e-01  -1.3458306e+09
   3.2930771e-01  -1.2600259e+09
